"Number","Description","Date","URL"
"277","Governor Murphy Launches New Jersey Health Care Cost Benchmark Program",2021-12-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-277.pdf"
"276","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of U.S. Senator Bob Dole",2021-12-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-276.pdf"
"275","Governor Murphy Signs Executive Order Clarifying Certain Statutory Deadlines Across State Government - Appendix To Executive Order No. 275",2021-11-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-275.pdf"
"274","Governor Murphy Advances Climate Action to Secure New Jersey’s Clean Energy Future",2021-11-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-274.pdf"
"273","Governor Murphy Lifts Storm-Related State of Emergency",2021-11-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-273.pdf"
"272","Declares State of Emergency in Preparation for Nor’easter Storm",2021-10-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-272.pdf"
"271","Governor Murphy Signs Executive Order Instituting Vaccination or Testing Requirement for State Contracted Employees",2021-10-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-271.pdf"
"270","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of General Colin Luther  Powell",2021-10-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-270.pdf"
"269","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of General Ray Odierno",2021-10-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-269.pdf"
"268","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of Assemblyman George Richardson",2021-10-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-268.pdf"
"267","Governor Murphy Signs Executive Order Addressing Duplications of Benefits in Expenditures of American Rescue Plan State and Local Fiscal Recovery Funds",2021-10-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-267.pdf"
"266","Governor Murphy Signs Executive Order to Increase Pay for New Jersey’s Poll Workers for the November 2021 General Election",2021-10-05,"https://nj.gov/infobank/eo/056murphy/pdf/EO-266.pdf"
"265","Creates the Office of Diversity, Equity, Inclusion, and Belonging in the Governor’s Office.",2021-09-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-265.pdf"
"264","Governor Murphy Signs Executive Order Instituting Vaccination or Testing Requirement for All Child Care Center Personnel",2021-09-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-264.pdf"
"263","Governor Murphy Signs Executive Order Allowing Extended Rulemaking Deadlines to Expire",2021-09-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-263.pdf"
"262","Governor Murphy Orders establishing the Wealth Disparity Task Force, which was previously announced on Juneteenth of this year.",2021-09-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-262.pdf"
"261","Governor Murphy Orders Flags to Fly at Half-Staff in Observation of the 20th Anniversary of 9/11",2021-09-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-261.pdf"
"260","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff to Honor Those Who Lost Their Lives to Tropical Storm Ida",2021-09-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-260.pdf"
"259","Governor Murphy Declares State of Emergency in Response to Tropical Storm Ida",2021-09-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-259.pdf"
"258","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Berkeley Township Beach Patrol Lifeguard Keith Pinto",2021-09-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-258.pdf"
"257","Governor Murphy Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Assembly Speaker Pro Tempore Nicholas R. Felice",2021-08-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-257.pdf"
"256","Governor Murphy Establishes Task Force on Afghan Refugee Assistance",2021-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-256.pdf"
"255","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff until sunset on Monday, August 30, 2021, in recognition and mourning of the United States Armed Forces members and innocent civilians who lost their lives in the attack at the Kabul airport on August 26, 2021.",2021-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-255.pdf"
"254","Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Cape May Beach Patrol Lifeguard Norman V. Inferrera, III",2021-08-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-254.pdf"
"253","Instituting Vaccination or Testing Requirement for All Preschool to Grade 12 Personnel and for All State Workers",2021-08-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-253.pdf"
"252","Directs Vaccination or Testing Requirement for Workers in Health Care Facilities and High-Risk Congregate Settings",2021-08-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-252.pdf"
"251","Governor Murphy Announces Indoor Mask Requirement for Beginning of 2021-2022 School Year",2021-08-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-251.pdf"
"250","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of AFL-CIO President Richard Trumka",2021-08-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-250.pdf"
"249","Updates the state’s evictions moratorium to be identical to provisions in S-3691, including the rescinding of certain provisions of Executive Order No. 106 (2020) and aligning expiration dates of other provisions in accordance with the new law.",2021-08-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-249.pdf"
"248","Governor Murphy Signs Executive Order Updating Procedures Related to the National Incident Management System",2021-07-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-248.pdf"
"247","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Camden Mayor Gwendolyn Faison",2021-07-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-247.pdf"
"246","Governor Murphy Signs Executive Order Ending Moratorium on Utility Shutoffs, Establishes Six-Month Grace Period for All Customers",2021-06-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-246.pdf"
"245","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Private First Class Dalton Beals",2021-06-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-245.pdf"
"244","Governor Murphy Signs Legislation and Executive Order Ending COVID-19 Public Health Emergency",2021-06-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-244.pdf"
"243","Rescinds the requirement from Executive Order No. 107 that businesses and non-profits accommodate telework arrangements for their workforce to the maximum extent practicable and reduce their on-site staff to the minimal number necessary for their operations.",2021-05-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-243.pdf"
"242","Governor Murphy Lifts Major COVID-19 Restrictions, Moves Forward with Most Significant Reopening Steps to Date",2021-05-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-242.pdf"
"241","Governor Eliminates Mask Requirement in Outdoor Public Spaces",2021-05-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-241.pdf"
"240","Governor Extends the Public Health Emergency for Another 30-Day Period",2021-05-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-240.pdf"
